Nome produto;Culturas registradas;Doenças, pragas e plantas daninhas controladas;Dose recomendada;Volume calda;Classe;Empresa;Pais
ANTRACOL® 700 WP;Uva (Vitis vinifera);Míldio (Plasmopara viticola);250 - 300 g/100 L de água;1000 L/ha ;Fungicida;Bayer;Brazil (BR)
ATTILA®;Algodão (Gossypium hirsutum);Mofo-branco (Sclerotinia sclerotiorum);0,3 - 0,4 L/ha ;Aérea: 30 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
ATTILA®;Algodão (Gossypium hirsutum);Mofo-branco (Sclerotinia sclerotiorum);0,3 - 0,4 L/ha ;Terrestre: 150 - 300 L/ha ;Fungicida;Bayer;Brazil (BR)
ATTILA®;Soja (Glycine max);Mofo-branco (Sclerotinia sclerotiorum);0,3 - 0,4 L/ha ;Aérea: 30 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
ATTILA®;Soja (Glycine max);Mofo-branco (Sclerotinia sclerotiorum);0,3 - 0,4 L/ha ;Terrestre: 150 - 300 L/ha ;Fungicida;Bayer;Brazil (BR)
ATTILA®;Feijão (Phaseolus vulgaris);Mofo-branco (Sclerotinia sclerotiorum);0,3 - 0,4 L/ha ;Terrestre: 150 - 300 L/ha ;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Citros (Citrus spp.);Pinta-preta (Phyllosticta citricarpa);10 g/100 L de água;2000 L/ha;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Citros (Citrus spp.);Verrugose (Elsinoe fawcetti);10 g/100 L de água;2000 L/ha;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Maçã (Malus domestica);Sarna (Venturia inaequalis);7,5 - 10 g/100 L de água;1000 - 2000 L/ha ;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Algodão (Gossypium hirsutum);Tombamento (Rhizoctonia solani);40 g/100 kg de sementes ;600 mL / 100 kg de sementes ;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Milho (Zea mays);Podridão dos grãos armazenados (Aspergillus flavus);20 g/100 kg de sementes;600 mL / 100 kg de sementes ;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Soja (Glycine max);Podridão das sementes (Fusarium pallidoroseum);20 g/100 kg de sementes;600 mL / 100 kg de sementes ;Fungicida;Bayer;Brazil (BR)
FLINT® 500 WG;Soja (Glycine max);Tombamento (Rhizoctonia solani);20 g/100 kg de sementes;600 mL / 100 kg de sementes ;Fungicida;Bayer;Brazil (BR)
FOX®;Algodão (Gossypium hirsutum);Ramulária (Ramularia areola);0,4 L/ha ;Aérea: 20 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Algodão (Gossypium hirsutum);Ramulária (Ramularia areola);0,4 L/ha ;Terrestre: 70 - 150 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Algodão (Gossypium hirsutum);Ramulose (Colletotrichum gossypii var. cephalosporioides);0,5 L/ha ;Aérea: 20 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Algodão (Gossypium hirsutum);Ramulose (Colletotrichum gossypii var. cephalosporioides);0,5 L/ha ;Terrestre: 70 - 150 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Algodão (Gossypium hirsutum);Mancha-alvo (Corynespora cassiicola);0,5 L/ha ;Aérea: 20 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Algodão (Gossypium hirsutum);Mancha-alvo (Corynespora cassiicola);0,5 L/ha ;Terrestre: 70 - 150 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Feijão (Phaseolus vulgaris);Ferrugem (Uromyces appendiculatus);0,4 L/ha ;Aérea: 20 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Feijão (Phaseolus vulgaris);Ferrugem (Uromyces appendiculatus);0,4 L/ha ;Terrestre: 70 - 150 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Feijão (Phaseolus vulgaris);Antracnose (Colletotrichum lindemuthianum);0,4 - 0,5 L/ha ;Aérea: 20 - 40 L/ha ;Fungicida;Bayer;Brazil (BR)
FOX®;Feijão (Phaseolus vulgaris);Antracnose (Colletotrichum lindemuthianum);0,4 - 0,5 L/ha ;Terrestre: 70 - 150 L/ha ;Fungicida;Bayer;Brazil (BR)
